gen,max fit,avg fit,med fit
0,0.40374708,0.20507205,0.13567064702510834
1,0.7098712,0.28830397,0.23623432219028473
2,0.40588874,0.5474497,0.6236980557441711
3,2.216145,0.19877322,0.14922426640987396
4,0.592484,0.22213025,4.9639642384136096E-5
5,0.9949936,0.12812823,0.040856435894966125
6,0.32699564,0.28778726,0.16813912987709045
7,0.94930774,0.40692738,0.3051287531852722
8,0.8619968,0.26660624,0.2310718297958374
9,2.0796962,0.23260327,0.23827822506427765
10,1.3652314,0.31773493,0.23208461701869965
11,1.3171613,0.40203103,0.26163801550865173
12,1.222834,0.37874854,0.19759662449359894
13,2.194545,0.3716726,0.24413181841373444
14,1.6911918,0.48033646,0.3970648944377899
15,2.414433,0.6213623,0.7667756676673889
16,1.9261043,0.4862314,0.3962721526622772
17,1.8796014,0.49431488,0.45112308859825134
18,1.8681186,0.44162852,0.2666245400905609
19,1.577422,0.6143007,0.6834521889686584
20,0.8483794,0.42640194,0.15844608843326569
21,3.0008035,0.3471494,0.30593833327293396
22,1.3293947,0.6162556,0.6223130226135254
23,2.65103,0.40257865,0.2785756587982178
24,1.2963861,0.36328378,0.3336263597011566
25,1.6683885,0.6365609,0.606742262840271
26,0.90477234,0.6901139,0.7522666454315186
27,2.439824,0.24004686,0.17775127291679382
28,1.2748142,0.54760325,0.5095525979995728
29,1.3548126,0.72539306,0.8206064105033875
30,1.8935586,0.69947994,0.5650822520256042
31,1.2001792,0.73289394,0.7690480947494507
32,0.7044752,0.5251814,0.45217958092689514
33,1.715035,0.5995432,0.7815457582473755
34,1.7833842,0.5873794,0.6660957336425781
35,1.8130018,0.49388456,0.5564181208610535
36,2.210159,0.63710445,0.6117393374443054
37,1.5062584,0.5217852,0.5239381194114685
38,3.014887,0.49114713,0.05927754193544388
39,3.1531625,0.49415585,0.47493594884872437
40,2.4446325,0.3330826,0.17031608521938324
41,2.4750252,0.40617862,0.3201880156993866
42,2.4766672,0.3469642,0.15766140818595886
43,1.1595863,0.60574776,0.6523445844650269
44,1.9842638,0.44402775,0.46274691820144653
45,1.9801393,0.5135442,0.659940779209137
46,0.83207214,0.6469297,0.7077171206474304
47,1.793349,0.6112788,0.5164270997047424
48,2.6148515,0.54574853,0.45026466250419617
49,2.973452,0.5165545,0.4361710250377655
50,2.339159,0.5440139,0.5377774238586426
51,3.7781963,0.3509369,0.3082563579082489
52,1.7182941,0.5286828,0.5756758451461792
53,2.9933834,0.59487826,0.5894837975502014
54,1.6405748,0.44966546,0.4500160217285156
55,2.8757968,0.60161364,0.5449653267860413
56,2.997385,0.3925003,0.30289968848228455
57,3.888819,0.44384038,0.4791421592235565
58,2.188275,0.62182933,0.6287968158721924
59,2.7851224,0.6353353,0.6584456562995911
60,1.6909946,0.39872763,0.4085412621498108
61,2.9392428,0.4715518,0.353620320558548
62,1.645146,0.40371993,0.22590762376785278
63,4.1941576,0.3417323,0.16681653261184692
64,2.6885684,0.32967854,0.12834256887435913
65,2.248693,0.49441728,0.5228368639945984
66,2.9437919,0.5344766,0.497050017118454
67,2.4964504,0.5910943,0.5658182501792908
68,3.1215787,0.4169659,0.2793968915939331
69,2.816393,0.58967835,0.6417384147644043
70,3.9739206,0.6974257,0.6366793513298035
71,2.5665684,0.4994587,0.3996526598930359
72,4.2821174,0.4110647,0.405683696269989
73,3.3033438,0.5288281,0.6056216359138489
74,3.9828491,0.48683506,0.5149722695350647
75,2.9448917,0.5904464,0.6526185870170593
76,2.1032097,0.4490322,0.3730585277080536
77,2.5430133,0.56149405,0.6676536798477173
78,3.5680385,0.6673257,0.7643756866455078
79,3.285885,0.6542404,0.6408263444900513
80,2.3495119,0.49828866,0.6460593938827515
81,4.6417837,0.386639,0.3861474096775055
82,2.256136,0.6081415,0.5795722007751465
83,1.8405505,0.51207364,0.5558515787124634
84,3.7546775,0.41347626,0.33195772767066956
85,4.094018,0.49696073,0.33609116077423096
86,3.3049119,0.48560363,0.32481953501701355
87,1.6581117,0.5060383,0.6362639665603638
88,2.5164807,0.6163738,0.6981821060180664
89,2.8672612,0.38705385,0.23195773363113403