gen,max fit,avg fit
0,2.1170158,0.08023644
1,1.2775178,0.18720075
2,1.9869314,0.3494731
3,2.6367378,0.2905711
4,2.4931493,0.45581928
5,2.434044,0.4887019
6,1.8759307,0.6716445
7,1.8944318,0.62667143
8,2.6215029,0.5661959
9,1.2747617,0.39374965
10,1.5872122,0.66549903
11,1.8733679,0.357769
12,1.8504294,0.5021164
13,1.9474173,0.3796586
14,3.0899193,0.35241863
15,1.7599477,0.4626541
16,2.1191802,0.5250793
17,2.673379,0.53022677
18,2.8033412,0.4709074
19,1.9458772,0.6394737
20,2.130462,0.6192028
21,2.3504345,0.403627
22,1.9769676,0.22235325
23,2.7790174,0.4107181
24,3.2243462,0.55160177
25,2.4913487,0.39482662
26,1.8758154,0.51708746
27,1.8903174,0.35607833
28,2.1929018,0.61091274
29,1.1908767,0.5280189
30,2.1844912,0.365796
31,2.1242082,0.50030017
32,2.4538646,0.4454451
33,1.8002939,0.58908087
34,3.176058,0.29728028
35,2.754871,0.5794999
36,1.8889546,0.35574657
37,2.1075408,0.45278218
38,1.2788068,0.46214893
39,1.703798,0.50151
40,2.9283078,0.5853405
41,2.7425864,0.48290712
42,2.4493098,0.34748346
43,2.4084377,0.5327345
44,2.5316982,0.336084
45,1.2645212,0.49584538
46,1.8196092,0.5346119
47,1.5545053,0.5377791
48,2.5626822,0.6131805
49,2.3950102,0.5426489
50,2.3781724,0.43493083
51,2.5382583,0.5149289
52,1.950687,0.3678344
53,1.5700243,0.69851
54,1.9682373,0.47889382
55,2.4381783,0.70808935
56,2.7194216,0.4098543
57,2.883275,0.65343755
58,2.3220124,0.49073192
59,1.4898772,0.51107997
60,2.4765372,0.509698
61,2.7027705,0.30080444
62,1.465831,0.5077555
63,1.9557542,0.53316516
64,2.7442465,0.47700256
65,1.4168701,0.5569225
66,2.1614692,0.6814381
67,2.0978494,0.38313916
68,2.2253046,0.5941413
69,3.4779284,0.4210798
70,2.0327177,0.4139663
71,1.9644246,0.4427174
72,2.2996335,0.46165928
73,1.9455409,0.4449124
74,2.5904708,0.58943224
75,2.2418075,0.39317304
76,1.7588404,0.59837794
77,2.0418305,0.31601012
78,1.9559487,0.35393324
79,1.4110448,0.40129566
80,2.402215,0.5569629
81,2.691316,0.68701994
82,2.8470023,0.42228335
83,1.714073,0.2971734
84,1.6450868,0.4772434
85,2.1211078,0.47924522